Michigan,127.6,90.3,58.6,43.3,17.0,17.2,35.5,28.2,41.8,26.9,+7.8
Arizona,126.2,92.0,56.5,45.3,15.7,18.1,39.6,25.4,43.6,27.8,+8.2
Houston,127.7,93.9,52.4,46.5,12.9,23.3,37.4,32.1,26.5,38.7,+5.4
Iowa St.,126.7,94.3,59.0,48.3,15.3,22.8,37.8,28.3,36.3,26.5,+5.4
Duke,125.6,94.0,57.6,46.0,16.3,19.6,38.1,26.2,40.9,23.3,+7.8
Florida,124.9,93.6,52.6,46.8,16.2,15.6,43.3,22.9,39.8,34.7,+3.3
Illinois,131.9,99.1,55.8,47.3,14.1,12.0,39.6,26.7,34.7,18.7,+6.2
Connecticut,121.8,92.0,55.4,44.1,16.2,19.1,35.3,29.3,31.7,40.1,+7.7
Purdue,130.4,98.6,58.8,50.3,13.8,16.3,36.0,26.8,27.6,23.9,+5.4
Vanderbilt,125.1,95.4,56.7,46.8,13.3,18.6,30.3,28.0,37.0,40.9,+4.8
Kansas,122.2,94.1,54.5,44.5,15.1,13.5,28.3,29.4,33.9,25.9,+4.9
Nebraska,122.1,94.0,56.5,47.2,13.2,19.0,26.0,27.2,26.4,24.7,+6.5
Michigan St.,119.0,91.7,53.8,46.1,18.1,16.4,39.4,22.0,37.2,29.4,+5.2
Gonzaga,121.7,94.2,56.8,45.4,14.2,20.4,36.2,24.5,31.3,31.9,+5.6
Tennessee,121.6,95.7,53.5,46.7,18.8,16.9,45.0,28.8,41.0,35.3,+3.0
Louisville,124.6,98.4,55.8,47.2,16.1,17.8,34.1,27.1,34.5,33.4,+2.0
Virginia,125.2,98.9,55.3,45.1,15.5,15.7,40.2,29.6,36.6,36.9,+3.8
Alabama,129.4,102.3,54.7,47.7,13.2,13.0,32.0,33.8,35.9,36.6,+3.0
Texas Tech,124.9,98.8,55.8,50.3,15.0,15.6,34.0,29.0,28.1,31.9,+3.5
Iowa,122.2,96.7,58.5,49.4,16.1,22.1,31.6,29.6,36.1,37.5,+2.3
Saint Louis,124.0,98.5,61.0,42.6,16.9,16.2,33.1,26.1,34.8,37.5,+2.9
St. John's,122.6,98.4,53.1,48.3,15.6,20.1,38.1,32.2,42.3,33.0,+2.3
Indiana,124.8,100.4,56.2,46.7,15.0,16.0,28.9,28.4,37.1,37.9,+1.2
Clemson,116.5,94.1,53.6,46.0,14.8,17.8,30.1,25.7,37.8,34.9,+3.0
N.C. State,123.0,99.6,56.9,50.5,13.7,19.6,28.9,27.8,35.2,38.9,+1.4
Texas A&M,122.2,99.0,56.4,49.8,15.4,20.2,33.9,30.8,39.0,34.6,+2.2
BYU,124.2,101.1,55.7,48.6,15.0,17.1,35.6,28.0,35.4,27.4,+4.0
Arkansas,126.8,103.9,56.5,50.8,13.0,16.4,32.8,31.2,37.7,29.2,+2.9
North Carolina,123.9,101.5,55.3,46.7,13.7,13.9,33.9,27.9,40.4,24.6,+3.1
Utah St.,122.3,101.1,57.0,48.5,16.2,21.9,36.4,31.6,37.0,38.8,+2.2
Auburn,125.2,103.6,53.0,51.9,14.8,17.4,37.8,32.0,47.5,34.3,+2.3
Villanova,121.0,100.1,54.5,50.9,15.3,18.7,34.7,32.6,30.9,28.6,+2.3
Santa Clara,122.1,101.8,55.0,50.4,17.0,21.1,38.4,31.2,26.5,40.0,+1.1
SMU,124.1,103.9,55.7,50.3,16.2,17.9,35.2,31.8,34.0,32.8,+1.8
Wisconsin,122.3,102.5,54.1,50.3,13.7,14.6,29.5,25.7,36.2,33.0,+1.6
UCLA,119.0,100.3,53.5,48.8,14.4,19.1,31.0,31.7,36.5,36.1,+1.0
San Diego St.,112.6,95.1,53.3,48.0,18.1,21.2,29.6,31.0,36.4,36.3,+0.7
Texas,125.7,106.2,55.1,49.6,15.5,14.6,37.1,27.7,46.6,40.7,-0.15
Saint Mary's,119.0,100.6,52.4,46.8,17.0,15.2,36.5,24.4,39.9,26.4,+2.0
Ohio St.,123.1,104.2,55.9,49.2,15.5,15.8,33.4,30.0,37.0,33.8,+0.6
New Mexico,116.5,98.8,53.6,47.9,15.4,19.9,29.5,27.9,35.3,31.7,+1.6
Georgia,120.9,102.5,53.7,47.7,14.4,19.5,36.1,35.4,39.4,29.1,+1.0
Kentucky,118.3,100.8,53.7,47.7,14.9,16.1,34.1,28.5,37.8,35.0,+2.3
Washington,116.9,100.2,50.4,49.1,15.2,15.0,35.3,28.8,32.1,31.9,-0.49
Miami FL,119.3,102.3,56.7,50.1,16.3,19.2,37.3,26.1,39.2,32.0,+0.9
UCF,121.5,105.0,55.0,52.2,16.2,16.6,37.1,26.6,30.6,35.3,+3.5
Grand Canyon,110.2,96.1,50.2,46.8,17.8,17.7,32.0,26.6,38.7,38.3,-0.7
Cincinnati,107.0,93.3,48.7,47.9,17.7,18.9,30.2,25.7,30.9,30.4,-2.6
USC,114.6,100.0,52.1,47.5,17.4,16.9,32.8,31.9,47.9,34.9,+2.0
Nevada,119.5,104.6,50.2,50.4,13.8,17.5,32.6,28.9,45.2,38.1,+0.13
Akron,120.9,106.4,59.4,50.4,15.5,18.7,34.9,32.4,28.1,32.3,-0.5
Seton Hall,108.3,95.6,47.4,46.5,16.5,22.1,37.5,31.0,36.5,43.6,+0.7
Tulsa,124.4,109.9,58.2,50.5,15.6,16.0,33.2,28.5,44.9,32.7,+0.36
TCU,112.9,100.0,51.8,50.1,15.8,19.7,32.3,29.6,36.8,32.2,-1.0
LSU,120.1,106.5,54.7,49.3,15.5,15.0,33.1,30.6,42.4,35.6,-0.9
California,113.8,101.0,52.9,47.5,14.6,16.2,26.0,31.3,38.2,35.6,+0.7
West Virginia,111.0,98.7,52.2,48.1,17.3,17.8,30.7,26.7,36.5,27.2,-0.9
Baylor,120.0,106.8,53.7,49.9,16.8,15.8,38.1,32.4,36.5,28.5,-0.9
Minnesota,113.0,100.5,53.0,50.0,16.7,17.3,29.5,29.1,40.2,30.4,-3.5
Syracuse,115.3,102.6,53.1,48.0,16.2,18.9,30.1,32.5,38.1,34.7,-2.3
Missouri,117.0,104.2,55.8,50.2,18.1,16.8,35.7,30.3,41.6,35.4,+0.31
Boise St.,115.2,102.7,51.1,51.9,16.7,16.2,31.5,23.7,43.3,35.9,-2.0
Virginia Tech,114.6,102.1,51.7,49.6,14.5,18.4,32.2,33.4,37.3,27.0,+0.26
Northwestern,117.8,105.2,52.3,49.1,12.8,16.3,29.2,33.1,36.9,35.9,-3.9
South Florida,117.0,104.9,51.3,49.2,15.9,18.2,37.8,31.9,43.8,41.8,-2.6
Belmont,119.4,107.0,60.6,47.7,18.9,18.1,29.7,30.1,34.5,29.3,+0.6
Butler,117.7,105.7,52.5,50.5,16.1,15.7,36.3,30.8,43.6,23.9,-1.3
VCU,120.1,108.1,54.9,50.0,15.3,17.9,33.8,30.6,44.4,35.0,-0.09
Stephen F. Austin,111.8,100.7,52.3,45.3,14.8,17.2,34.7,29.6,29.4,33.0,-0.30
Oklahoma St.,117.0,105.6,53.6,51.7,16.7,17.2,31.4,29.1,38.3,32.1,+0.7
Oklahoma,118.9,107.5,53.9,50.7,14.5,15.5,34.1,30.8,34.0,32.6,-3.1
Creighton,118.0,106.8,54.5,51.3,15.9,13.7,29.1,31.1,27.7,22.8,-1.6
Wake Forest,114.8,103.9,52.6,51.9,16.1,20.1,30.3,33.8,33.0,37.6,-2.6
Illinois St.,111.3,100.7,54.1,48.3,16.3,17.0,30.1,24.4,34.1,36.3,-2.8
Providence,122.8,111.2,54.9,52.2,15.7,13.7,31.7,31.6,36.7,33.0,-4.5
Arizona St.,118.1,107.1,52.4,53.5,16.4,18.9,30.0,34.0,40.3,36.0,-1.8
Stanford,114.1,103.7,49.9,51.8,16.2,19.0,33.5,29.3,39.4,41.6,-0.8
George Washington,118.0,107.4,55.4,51.7,17.3,18.0,34.9,28.8,36.9,33.7,-4.4
Yale,120.9,110.3,56.5,51.9,13.8,16.1,34.5,29.9,35.0,31.2,-0.8
Miami OH,118.7,108.5,59.9,50.8,14.9,18.5,25.8,27.2,40.6,32.8,+2.3
Mississippi,112.6,103.0,50.2,48.9,14.7,17.6,30.8,32.1,33.9,40.8,-2.3
Mississippi St.,112.0,102.5,50.4,48.5,16.3,13.1,32.2,29.3,32.3,32.3,-2.7
Liberty,118.5,108.7,60.3,50.7,13.3,18.3,19.4,33.2,29.5,25.9,+0.42
McNeese St.,115.0,105.4,50.6,49.6,15.1,24.1,37.0,36.4,38.5,42.7,-0.23
Utah Valley,112.2,103.0,55.5,48.8,20.9,20.9,34.5,31.0,36.0,38.4,-2.2
Colorado,118.7,109.0,54.1,52.6,13.9,15.5,30.4,29.6,37.7,34.3,-2.0
Georgetown,114.5,105.3,50.0,49.1,14.4,16.2,32.0,31.0,39.2,35.5,-2.5
Hawaii,107.2,98.8,53.0,44.2,19.4,17.3,32.1,27.0,42.2,35.6,-2.3
Notre Dame,113.9,105.2,52.3,50.5,17.1,14.0,32.2,25.2,34.1,34.4,-2.8
Xavier,114.1,105.4,51.4,52.7,14.1,16.9,26.4,28.5,27.1,32.8,-2.6
Dayton,109.3,101.1,52.0,51.4,17.1,23.0,26.7,31.1,46.5,34.0,-2.4
Oregon,114.7,106.1,49.5,51.3,18.1,15.6,35.0,31.9,35.7,31.9,-5.1
